Results Table 1


Results Table 2


Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
(s),(mm),(kN),(mm),(%),(MPa),
"2.0600","1.7185","0.0000","1.7185","1.1457","-0.0019","0.0000"
"2.0800","1.7353","0.0000","1.7353","1.1569","-0.0036","0.0000"
"2.1000","1.7518","-0.0001","1.7518","1.1679","-0.0090","0.0000"
"2.1200","1.7682","-0.0001","1.7682","1.1788","-0.0074","0.0000"
"2.1400","1.7849","0.0000","1.7849","1.1899","-0.0030","0.0000"
"2.1600","1.8016","-0.0001","1.8016","1.2011","-0.0064","0.0000"
"2.1800","1.8185","-0.0001","1.8185","1.2124","-0.0076","0.0000"
"2.2000","1.8349","-0.0001","1.8349","1.2233","-0.0079","0.0000"
"2.2200","1.8517","-0.0001","1.8517","1.2345","-0.0104","0.0000"
"2.2400","1.8685","-0.0001","1.8685","1.2456","-0.0068","0.0000"
"2.2600","1.8849","-0.0001","1.8849","1.2566","-0.0052","0.0000"
"2.2800","1.9013","0.0000","1.9013","1.2675","-0.0042","0.0000"
"2.3000","1.9182","-0.0001","1.9182","1.2788","-0.0082","0.0000"
"2.3200","1.9352","-0.0001","1.9352","1.2901","-0.0062","0.0000"
"2.3400","1.9519","0.0000","1.9519","1.3013","-0.0024","0.0000"
"2.3600","1.9686","0.0000","1.9686","1.3124","-0.0001","0.0000"
"2.3800","1.9851","0.0000","1.9851","1.3234","-0.0005","0.0000"
"2.4000","2.0016","0.0000","2.0016","1.3344","-0.0012","0.0000"
"2.4200","2.0182","0.0000","2.0182","1.3454","-0.0022","0.0000"
"2.4400","2.0350","0.0000","2.0350","1.3567","-0.0001","0.0000"
"2.4600","2.0518","0.0000","2.0518","1.3679","-0.0020","0.0000"
"2.4800","2.0683","0.0000","2.0683","1.3789","-0.0016","0.0000"
"2.5000","2.0852","0.0000","2.0852","1.3901","-0.0024","0.0000"
"2.5200","2.1017","0.0000","2.1017","1.4012","-0.0005","0.0000"
"2.5400","2.1184","0.0000","2.1184","1.4123","-0.0008","0.0000"
"2.5600","2.1349","0.0000","2.1349","1.4233","-0.0004","0.0000"
"2.5800","2.1516","0.0000","2.1516","1.4344","0.0005","0.0000"
"2.6000","2.1684","0.0000","2.1684","1.4456","-0.0017","0.0000"
"2.6200","2.1853","0.0000","2.1853","1.4569","-0.0034","0.0000"
"2.6400","2.2020","0.0000","2.2020","1.4680","-0.0016","0.0000"
"2.6600","2.2185","0.0000","2.2185","1.4790","-0.0020","0.0000"
"2.6800","2.2353","0.0000","2.2353","1.4902","-0.0049","0.0000"
"2.7000","2.2519","-0.0001","2.2519","1.5013","-0.0077","0.0000"
"2.7200","2.2684","0.0000","2.2684","1.5123","-0.0048","0.0000"
"2.7400","2.2851","0.0000","2.2851","1.5234","-0.0005","0.0000"
"2.7600","2.3018","0.0000","2.3018","1.5346","0.0008","0.0000"
"2.7800","2.3185","0.0000","2.3185","1.5457","-0.0010","0.0000"
"2.8000","2.3351","0.0000","2.3351","1.5568","-0.0027","0.0000"
"2.8200","2.3518","0.0000","2.3518","1.5679","-0.0016","0.0000"
