 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
196,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1733-1400:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,47.525,98.601,122.407,25.696,9.225,6.560,128.340,0.905,1.406,0.711,1.000
197,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1609-1301:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,19.160,91.823,113.497,17.076,6.595,3.699,143.717,0.826,1.783,0.561,1.002
198,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1549-1172:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,62.789,82.511,109.669,29.178,9.485,8.428,162.824,0.927,1.125,0.889,1.000
199,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1737-1232:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,205.859,87.066,121.911,54.437,20.209,12.970,139.917,0.873,1.558,0.642,1.000
200,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1698-1052:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,52.233,74.307,119.641,27.696,10.593,6.279,100.650,0.856,1.687,0.593,1.000
201,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1736-0952:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,84.808,67.224,122.848,34.888,12.447,8.676,91.406,0.876,1.435,0.697,1.000
202,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1634-0672:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,227.878,47.673,115.071,55.151,19.160,15.143,120.669,0.941,1.265,0.790,1.000
203,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0912-0173:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,83.533,12.617,64.308,33.775,12.126,8.771,128.680,0.920,1.382,0.723,1.000
204,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1034-0561:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,55.337,39.638,72.961,27.815,10.144,6.946,137.157,0.899,1.460,0.685,1.000
205,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0739-0175:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,50.614,12.383,52.137,26.301,9.278,6.946,129.880,0.919,1.336,0.749,1.001
206,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0919-0421:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,53.962,29.625,65.053,27.290,9.825,6.993,139.311,0.911,1.405,0.712,0.999
207,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0861-0293:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,50.564,20.656,60.717,26.560,9.722,6.622,110.612,0.901,1.468,0.681,1.000
208,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0769-0328:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,45.797,23.179,54.178,26.754,10.686,5.456,131.784,0.804,1.958,0.511,1.000
209,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0612-0286:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,62.007,20.065,43.226,28.930,10.033,7.869,111.329,0.931,1.275,0.784,0.999
210,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0559-0386:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,27.150,27.231,39.603,19.487,7.082,4.882,164.969,0.898,1.451,0.689,0.998
211,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0435-0373:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,137.335,26.249,30.611,42.607,14.162,12.347,149.431,0.951,1.147,0.872,0.999
212,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1128-0948:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,122.246,66.675,79.873,40.602,14.544,10.702,115.663,0.932,1.359,0.736,1.000
