 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0180-1111:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,101.407,78.674,12.681,36.633,12.003,10.757,131.532,0.950,1.116,0.896,1.000
2,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0305-1218:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,75.388,86.236,21.507,31.989,11.283,8.507,139.072,0.926,1.326,0.754,1.000
3,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0506-1478:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,53.528,103.951,35.637,27.483,9.723,7.009,156.090,0.891,1.387,0.721,0.999
4,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0534-1315:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,153.257,92.580,37.873,47.528,18.631,10.474,147.028,0.853,1.779,0.562,1.000
5,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0648-1519:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,56.363,107.002,45.870,28.149,10.169,7.057,144.304,0.894,1.441,0.694,1.000
6,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0107-0961:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,66.336,68.087,7.468,29.956,10.090,8.371,107.904,0.929,1.205,0.830,1.000
7,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0109-0802:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,54.744,56.611,7.819,27.756,10.392,6.707,152.694,0.893,1.549,0.645,0.999
8,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0241-0934:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,56.482,65.916,16.961,28.135,10.500,6.849,136.388,0.897,1.533,0.652,1.000
9,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0759-1539:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,37.258,108.730,53.327,23.063,8.109,5.850,129.003,0.880,1.386,0.722,1.001
10,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0853-1568:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,7.781,110.660,60.206,10.504,3.523,2.812,135.384,0.886,1.253,0.798,0.996
11,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0927-1539:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,52.089,108.519,65.169,28.530,11.160,5.943,123.910,0.804,1.878,0.533,1.000
12,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0421-1144:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,37.881,80.675,29.730,24.649,9.953,4.846,164.115,0.783,2.054,0.487,0.999
13,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0446-0927:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,84.016,65.378,31.661,33.645,11.880,9.005,154.379,0.933,1.319,0.758,1.000
14,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0532-1018:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,56.039,71.788,37.690,29.401,11.784,6.055,9.642,0.815,1.946,0.514,1.000
15,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0628-1048:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,60.363,74.109,44.257,30.718,12.047,6.379,169.102,0.804,1.888,0.530,1.000
16,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0192-0749:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,46.758,53.069,13.441,25.561,9.069,6.564,131.952,0.899,1.382,0.724,1.000
17,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0596-0849:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,93.880,60.491,42.387,39.600,15.733,7.598,0.206,0.752,2.071,0.483,0.972
18,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0506-0648:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,46.335,45.550,35.719,26.388,10.215,5.776,138.793,0.836,1.769,0.565,0.999
19,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0291-0424:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,74.606,29.896,20.539,31.460,10.163,9.347,78.406,0.947,1.087,0.920,1.000
20,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0147-0646:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,41.712,45.554,10.280,23.565,7.771,6.834,107.649,0.944,1.137,0.879,1.000
21,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0177-0536:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,48.532,37.751,12.655,25.275,7.912,7.810,173.538,0.955,1.013,0.987,1.000
22,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0449-0482:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,110.006,34.084,31.316,39.278,14.758,9.491,149.937,0.896,1.555,0.643,1.000
23,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0538-0442:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,38.573,30.957,38.169,23.776,9.013,5.449,149.543,0.857,1.654,0.605,0.999
24,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0565-0592:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,24.201,41.404,40.077,19.286,7.163,4.302,3.333,0.818,1.665,0.601,1.000
25,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0665-0654:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,139.722,46.501,47.048,43.639,15.600,11.404,162.599,0.922,1.368,0.731,1.000
26,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0716-0480:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,111.620,33.923,50.418,38.981,13.702,10.372,156.645,0.923,1.321,0.757,1.000
27,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0757-0346:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,53.055,24.599,53.125,29.568,12.118,5.574,149.918,0.763,2.174,0.460,1.000
28,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1347-0759:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,43.331,53.654,94.699,25.570,9.800,5.630,84.104,0.833,1.741,0.574,1.000
29,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1487-0350:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,44.018,24.699,104.916,24.967,9.304,6.024,142.425,0.887,1.545,0.647,1.000
30,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1701-0435:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,269.784,30.441,120.334,60.728,22.466,15.290,139.131,0.919,1.469,0.681,1.000
31,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0888-0740:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,60.368,52.234,62.677,29.065,10.592,7.257,138.112,0.898,1.459,0.685,1.000
32,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0787-0660:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,40.830,46.571,55.502,23.902,8.624,6.028,172.389,0.898,1.431,0.699,1.000
